RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,PRICE
6.245,6.2,5.2873,4.0,305.0,19.2,7.54,23.4
6.273,6.0,4.2515,5.0,398.0,18.7,6.78,24.1
6.286,45.0,4.5026,5.0,398.0,18.7,8.94,21.4
6.279,74.5,4.0522,5.0,398.0,18.7,11.97,20.0
6.14,45.8,4.0905,5.0,398.0,18.7,10.27,20.8
6.232,53.7,5.0141,5.0,398.0,18.7,12.34,21.2
5.874,36.6,4.5026,5.0,398.0,18.7,9.1,20.3
6.727,33.5,5.4007,4.0,281.0,19.0,5.29,28.0
6.619,70.4,5.4007,4.0,281.0,19.0,7.22,23.9
6.302,32.2,5.4007,4.0,281.0,19.0,6.72,24.8
6.167,46.7,5.4007,4.0,281.0,19.0,7.51,22.9
6.389,48.0,4.7794,3.0,247.0,18.5,9.62,23.9
6.63,56.1,4.4377,3.0,247.0,18.5,6.53,26.6
6.015,45.1,4.4272,3.0,247.0,18.5,12.86,22.5
6.121,56.8,3.7476,3.0,247.0,18.5,8.44,22.2
7.007,86.3,3.4217,2.0,270.0,17.8,5.5,23.6
7.079,63.1,3.4145,2.0,270.0,17.8,5.7,28.7
6.417,66.1,3.0923,2.0,270.0,17.8,8.81,22.6
6.405,73.9,3.0921,2.0,270.0,17.8,8.2,22.0
6.442,53.6,3.6659,4.0,270.0,18.2,8.16,22.9
6.211,28.9,3.6659,4.0,270.0,18.2,6.21,25.0
6.249,77.3,3.615,4.0,270.0,18.2,10.59,20.6
6.625,57.8,3.4952,2.0,276.0,18.0,6.65,28.4
6.163,69.6,3.4952,2.0,276.0,18.0,11.34,21.4
8.069,76.0,3.4952,2.0,276.0,18.0,4.21,38.7
7.82,36.9,3.4952,2.0,276.0,18.0,3.57,43.8
7.416,62.5,3.4952,2.0,276.0,18.0,6.19,33.2
6.727,79.9,2.7778,5.0,384.0,20.9,9.42,27.5
6.781,71.3,2.8561,5.0,384.0,20.9,7.67,26.5
6.405,85.4,2.7147,5.0,384.0,20.9,10.63,18.6
6.137,87.4,2.7147,5.0,384.0,20.9,13.44,19.3
6.167,90.0,2.421,5.0,384.0,20.9,12.33,20.1
5.851,96.7,2.1069,5.0,384.0,20.9,16.47,19.5
5.836,91.9,2.211,5.0,384.0,20.9,18.66,19.5
6.127,85.2,2.1224,5.0,384.0,20.9,14.09,20.4
6.474,97.1,2.4329,5.0,384.0,20.9,12.27,19.8
6.229,91.2,2.5451,5.0,384.0,20.9,15.55,19.4
6.195,54.4,2.7778,5.0,384.0,20.9,13.0,21.7
6.715,81.6,2.6775,6.0,432.0,17.8,10.16,22.8
5.913,92.9,2.3534,6.0,432.0,17.8,16.21,18.8
6.092,95.4,2.548,6.0,432.0,17.8,17.09,18.7
6.254,84.2,2.2565,6.0,432.0,17.8,10.45,18.5
5.928,88.2,2.4631,6.0,432.0,17.8,15.76,18.3
6.176,72.5,2.7301,6.0,432.0,17.8,12.04,21.2
6.021,82.6,2.7474,6.0,432.0,17.8,10.3,19.2
5.872,73.1,2.4775,6.0,432.0,17.8,15.37,20.4
5.731,65.2,2.7592,6.0,432.0,17.8,13.61,19.3
5.87,69.7,2.2577,2.0,188.0,19.1,14.37,22.0
6.004,84.1,2.1974,2.0,188.0,19.1,14.27,20.3
5.961,92.9,2.0869,2.0,188.0,19.1,17.93,20.5
5.856,97.0,1.9444,2.0,188.0,19.1,25.41,17.3
5.879,95.8,2.0063,2.0,188.0,19.1,17.58,18.8
5.986,88.4,1.9929,2.0,188.0,19.1,14.81,21.4
5.613,95.6,1.7572,2.0,188.0,19.1,27.26,15.7
5.693,96.0,1.7883,4.0,437.0,21.2,17.19,16.2
6.431,98.8,1.8125,4.0,437.0,21.2,15.39,18.0
5.637,94.7,1.9799,4.0,437.0,21.2,18.34,14.3
6.458,98.9,2.1185,4.0,437.0,21.2,12.6,19.2
6.326,97.7,2.271,4.0,437.0,21.2,12.26,19.6
6.372,97.9,2.3274,4.0,437.0,21.2,11.12,23.0
5.822,95.4,2.4699,4.0,437.0,21.2,15.03,18.4
5.757,98.4,2.346,4.0,437.0,21.2,17.31,15.6
6.335,98.2,2.1107,4.0,437.0,21.2,16.96,18.1
5.942,93.5,1.9669,4.0,437.0,21.2,16.9,17.4
6.454,98.4,1.8498,4.0,437.0,21.2,14.59,17.1
5.857,98.2,1.6686,4.0,437.0,21.2,21.32,13.3
6.151,97.9,1.6687,4.0,437.0,21.2,18.46,17.8
6.174,93.6,1.6119,4.0,437.0,21.2,24.16,14.0
5.019,100.0,1.4394,4.0,437.0,21.2,34.41,14.4
5.403,100.0,1.3216,5.0,403.0,14.7,26.82,13.4
5.468,100.0,1.4118,5.0,403.0,14.7,26.42,15.6
4.903,97.8,1.3459,5.0,403.0,14.7,29.29,11.8
6.13,100.0,1.4191,5.0,403.0,14.7,27.8,13.8
5.628,100.0,1.5166,5.0,403.0,14.7,16.65,15.6
4.926,95.7,1.4608,5.0,403.0,14.7,29.53,14.6
5.186,93.8,1.5296,5.0,403.0,14.7,28.32,17.8
5.597,94.9,1.5257,5.0,403.0,14.7,21.45,15.4
6.122,97.3,1.618,5.0,403.0,14.7,14.1,21.5
5.404,100.0,1.5916,5.0,403.0,14.7,13.28,19.6
5.012,88.0,1.6102,5.0,403.0,14.7,12.12,15.3
5.709,98.5,1.6232,5.0,403.0,14.7,15.79,19.4
6.129,96.0,1.7494,5.0,403.0,14.7,15.12,17.0
6.152,82.6,1.7455,5.0,403.0,14.7,15.02,15.6
5.272,94.0,1.7364,5.0,403.0,14.7,16.14,13.1
6.943,97.4,1.8773,5.0,403.0,14.7,4.59,41.3
6.066,100.0,1.7573,5.0,403.0,14.7,6.43,24.3
6.51,100.0,1.7659,5.0,403.0,14.7,7.39,23.3
6.25,92.6,1.7984,5.0,403.0,14.7,5.5,27.0
7.489,90.8,1.9709,5.0,403.0,14.7,1.73,50.0
7.802,98.2,2.0407,5.0,403.0,14.7,1.92,50.0
8.375,93.9,2.162,5.0,403.0,14.7,3.32,50.0
5.854,91.8,2.422,5.0,403.0,14.7,11.64,22.7
6.101,93.0,2.2834,5.0,403.0,14.7,9.81,25.0
7.929,96.2,2.0459,5.0,403.0,14.7,3.7,50.0
5.877,79.2,2.4259,5.0,403.0,14.7,12.14,23.8
6.319,96.1,2.1,5.0,403.0,14.7,11.1,23.8
6.402,95.2,2.2625,5.0,403.0,14.7,11.32,22.3
5.875,94.6,2.4259,5.0,403.0,14.7,14.43,17.4
5.88,97.3,2.3887,5.0,403.0,14.7,12.03,19.1
5.572,88.5,2.5961,5.0,296.0,16.6,14.69,23.1
6.416,84.1,2.6463,5.0,296.0,16.6,9.04,23.6
5.859,68.7,2.7019,5.0,296.0,16.6,9.64,22.6
6.546,33.1,3.1323,5.0,296.0,16.6,5.33,29.4
6.02,47.2,3.5549,5.0,296.0,16.6,10.11,23.2
6.315,73.4,3.3175,5.0,296.0,16.6,6.29,24.6
6.86,74.4,2.9153,5.0,296.0,16.6,6.92,29.9
6.98,58.4,2.829,3.0,193.0,17.8,5.04,37.2
7.765,83.3,2.741,3.0,193.0,17.8,7.56,39.8
6.144,62.2,2.5979,3.0,193.0,17.8,9.45,36.2
7.155,92.2,2.7006,3.0,193.0,17.8,4.82,37.9
6.563,95.6,2.847,3.0,193.0,17.8,5.68,32.5
5.604,89.8,2.9879,3.0,193.0,17.8,13.98,26.4
6.153,68.8,3.2797,3.0,193.0,17.8,13.15,29.6
7.831,53.6,3.1992,3.0,193.0,17.8,4.45,50.0
6.782,41.1,3.7886,5.0,398.0,15.2,6.68,32.0
6.556,29.1,4.5667,5.0,398.0,15.2,4.56,29.8
7.185,38.9,4.5667,5.0,398.0,15.2,5.39,34.9
6.951,21.5,6.4798,5.0,398.0,15.2,5.1,37.0
6.739,30.8,6.4798,5.0,398.0,15.2,4.69,30.5
7.178,26.3,6.4798,5.0,398.0,15.2,2.87,36.4
6.8,9.9,6.2196,1.0,265.0,15.6,5.03,31.1
6.604,18.8,6.2196,1.0,265.0,15.6,4.38,29.1
7.875,32.0,5.6484,4.0,255.0,14.4,2.97,50.0
7.287,34.1,7.309,2.0,329.0,12.6,4.08,33.3
7.107,36.6,7.309,2.0,329.0,12.6,8.61,30.3
7.274,38.3,7.309,2.0,329.0,12.6,6.62,34.6
6.975,15.3,7.6534,3.0,402.0,17.0,4.56,34.9
7.135,13.9,7.6534,3.0,402.0,17.0,4.45,32.9
6.162,38.4,6.27,2.0,348.0,14.7,7.43,24.1
7.61,15.7,6.27,2.0,348.0,14.7,3.11,42.3
7.853,33.2,5.118,4.0,224.0,14.7,3.81,48.5
8.034,31.9,5.118,4.0,224.0,14.7,2.88,50.0
5.891,22.3,3.9454,4.0,277.0,18.6,10.87,22.6
6.326,52.5,4.3549,4.0,277.0,18.6,10.97,24.4
5.783,72.7,4.3549,4.0,277.0,18.6,18.06,22.5
6.064,59.1,4.2392,4.0,277.0,18.6,14.66,24.4
5.344,100.0,3.875,4.0,277.0,18.6,23.09,20.0
5.96,92.1,3.8771,4.0,277.0,18.6,17.27,21.7
5.404,88.6,3.665,4.0,277.0,18.6,23.98,19.3
5.807,53.8,3.6526,4.0,277.0,18.6,16.03,22.4
6.375,32.3,3.9454,4.0,277.0,18.6,9.38,28.1
5.412,9.8,3.5875,4.0,277.0,18.6,29.55,23.7
6.182,42.4,3.9454,4.0,277.0,18.6,9.47,25.0
5.888,56.0,3.1121,5.0,276.0,16.4,13.51,23.3
6.642,85.1,3.4211,5.0,276.0,16.4,9.69,28.7
5.951,93.8,2.8893,5.0,276.0,16.4,17.92,21.5
6.373,92.4,3.3633,5.0,276.0,16.4,10.5,23.0
6.951,88.5,2.8617,8.0,307.0,17.4,9.71,26.7
6.164,91.3,3.048,8.0,307.0,17.4,21.46,21.7
6.879,77.7,3.2721,8.0,307.0,17.4,9.93,27.5
6.618,80.8,3.2721,8.0,307.0,17.4,7.6,30.1
8.266,78.3,2.8944,8.0,307.0,17.4,4.14,44.8
8.725,83.0,2.8944,8.0,307.0,17.4,4.63,50.0
8.04,86.5,3.2157,8.0,307.0,17.4,3.13,37.6
7.163,79.9,3.2157,8.0,307.0,17.4,6.36,31.6
7.686,17.0,3.3751,8.0,307.0,17.4,3.92,46.7
6.552,21.4,3.3751,8.0,307.0,17.4,3.76,31.5
5.981,68.1,3.6715,8.0,307.0,17.4,11.65,24.3
7.412,76.9,3.6715,8.0,307.0,17.4,5.25,31.7
8.337,73.3,3.8384,8.0,307.0,17.4,2.47,41.7
8.247,70.4,3.6519,8.0,307.0,17.4,3.95,48.3
6.726,66.5,3.6519,8.0,307.0,17.4,8.05,29.0
6.086,61.5,3.6519,8.0,307.0,17.4,10.88,24.0
6.631,76.5,4.148,8.0,307.0,17.4,9.54,25.1
7.358,71.6,4.148,8.0,307.0,17.4,4.73,31.5
6.481,18.5,6.1899,6.0,300.0,16.6,6.36,23.7
6.606,42.2,6.1899,6.0,300.0,16.6,7.37,23.3
6.897,54.3,6.3361,6.0,300.0,16.6,11.38,22.0
6.095,65.1,6.3361,6.0,300.0,16.6,12.4,20.1
6.358,52.9,7.0355,6.0,300.0,16.6,11.22,22.2
6.393,7.8,7.0355,6.0,300.0,16.6,5.19,23.7
5.593,76.5,7.9549,7.0,330.0,19.1,12.5,17.6
5.605,70.2,7.9549,7.0,330.0,19.1,18.46,18.5
6.108,34.9,8.0555,7.0,330.0,19.1,9.16,24.3
6.226,79.2,8.0555,7.0,330.0,19.1,10.15,20.5
6.433,49.1,7.8265,7.0,330.0,19.1,9.52,24.5
6.718,17.5,7.8265,7.0,330.0,19.1,6.56,26.2
6.487,13.0,7.3967,7.0,330.0,19.1,5.9,24.4
6.438,8.9,7.3967,7.0,330.0,19.1,3.59,24.8
6.957,6.8,8.9067,7.0,330.0,19.1,3.53,29.6
8.259,8.4,8.9067,7.0,330.0,19.1,3.54,42.8
6.108,32.0,9.2203,1.0,315.0,16.4,6.57,21.9
5.876,19.1,9.2203,1.0,315.0,16.4,9.25,20.9
7.454,34.2,6.3361,3.0,244.0,15.9,3.11,44.0
8.704,86.9,1.801,5.0,264.0,13.0,5.12,50.0
7.333,100.0,1.8946,5.0,264.0,13.0,7.79,36.0
6.842,100.0,2.0107,5.0,264.0,13.0,6.9,30.1
7.203,81.8,2.1121,5.0,264.0,13.0,9.59,33.8
7.52,89.4,2.1398,5.0,264.0,13.0,7.26,43.1
8.398,91.5,2.2885,5.0,264.0,13.0,5.91,48.8
7.327,94.5,2.0788,5.0,264.0,13.0,11.25,31.0
7.206,91.6,1.9301,5.0,264.0,13.0,8.1,36.5
5.56,62.8,1.9865,5.0,264.0,13.0,10.45,22.8
7.014,84.6,2.1329,5.0,264.0,13.0,14.79,30.7
8.297,67.0,2.4216,5.0,264.0,13.0,7.44,50.0
7.47,52.6,2.872,5.0,264.0,13.0,3.16,43.5
5.92,61.5,3.9175,3.0,223.0,18.6,13.65,20.7
5.856,42.1,4.429,3.0,223.0,18.6,13.0,21.1
6.24,16.3,4.429,3.0,223.0,18.6,6.59,25.2
6.538,58.7,3.9175,3.0,223.0,18.6,7.73,24.4
7.691,51.8,4.3665,3.0,223.0,18.6,6.58,35.2
6.758,32.9,4.0776,4.0,254.0,17.6,3.53,32.4
6.854,42.8,4.2673,4.0,254.0,17.6,2.98,32.0
7.267,49.0,4.7872,4.0,254.0,17.6,6.05,33.2
6.826,27.6,4.8628,4.0,254.0,17.6,4.16,33.1
6.482,32.1,4.1403,4.0,254.0,17.6,7.19,29.1
6.812,32.2,4.1007,5.0,216.0,14.9,4.85,35.1
7.82,64.5,4.6947,5.0,216.0,14.9,3.76,45.4
6.968,37.2,5.2447,5.0,216.0,14.9,4.59,35.4
7.645,49.7,5.2119,5.0,216.0,14.9,3.01,46.0
7.923,24.8,5.885,1.0,198.0,13.6,3.16,50.0
7.088,20.8,7.3073,1.0,285.0,15.3,7.85,32.2
6.453,31.9,7.3073,1.0,300.0,15.3,8.23,22.0
6.23,31.5,9.0892,1.0,241.0,18.2,12.93,20.1
6.209,31.3,7.3172,6.0,293.0,16.6,7.14,23.2
6.315,45.6,7.3172,6.0,293.0,16.6,7.6,22.3
6.565,22.9,7.3172,6.0,293.0,16.6,9.51,24.8
6.861,27.9,5.1167,4.0,245.0,19.2,3.33,28.5
7.148,27.7,5.1167,4.0,245.0,19.2,3.56,37.3
6.63,23.4,5.1167,4.0,245.0,19.2,4.7,27.9
6.127,18.4,5.5027,4.0,289.0,16.0,8.58,23.9
6.009,42.3,5.5027,4.0,289.0,16.0,10.4,21.7
6.678,31.1,5.9604,4.0,289.0,16.0,6.27,28.6
6.549,51.0,5.9604,4.0,289.0,16.0,7.39,27.1
5.79,58.0,6.32,4.0,289.0,16.0,15.84,20.3
6.345,20.1,7.8278,5.0,358.0,14.8,4.97,22.5
7.041,10.0,7.8278,5.0,358.0,14.8,4.74,29.0
6.871,47.4,7.8278,5.0,358.0,14.8,6.07,24.8
6.59,40.4,5.4917,7.0,329.0,16.1,9.5,22.0
6.495,18.4,5.4917,7.0,329.0,16.1,8.67,26.4
6.982,17.7,5.4917,7.0,329.0,16.1,4.86,33.1
7.236,41.1,4.022,7.0,222.0,18.4,6.93,36.1
6.616,58.1,3.37,7.0,222.0,18.4,8.93,28.4
7.42,71.9,3.0992,7.0,222.0,18.4,6.47,33.4
6.849,70.3,3.1827,7.0,222.0,18.4,7.53,28.2
6.635,82.5,3.3175,4.0,304.0,18.4,4.54,22.8
5.972,76.7,3.1025,4.0,304.0,18.4,9.97,20.3
4.973,37.8,2.5194,4.0,304.0,18.4,12.64,16.1
6.122,52.8,2.6403,4.0,304.0,18.4,5.98,22.1
6.023,90.4,2.834,4.0,304.0,18.4,11.72,19.4
6.266,82.8,3.2628,4.0,304.0,18.4,7.9,21.6
6.567,87.3,3.6023,4.0,304.0,18.4,9.28,23.8
5.705,77.7,3.945,4.0,304.0,18.4,11.5,16.2
5.914,83.2,3.9986,4.0,304.0,18.4,18.33,17.8
5.782,71.7,4.0317,4.0,304.0,18.4,15.94,19.8
6.382,67.2,3.5325,4.0,304.0,18.4,10.36,23.1
6.113,58.8,4.0019,4.0,304.0,18.4,12.73,21.0
6.426,52.3,4.5404,5.0,287.0,19.6,7.2,23.8
6.376,54.3,4.5404,5.0,287.0,19.6,6.87,23.1
6.041,49.9,4.7211,5.0,287.0,19.6,7.7,20.4
5.708,74.3,4.7211,5.0,287.0,19.6,11.74,18.5
6.415,40.1,4.7211,5.0,287.0,19.6,6.12,25.0
6.431,14.7,5.4159,5.0,287.0,19.6,5.08,24.6
6.312,28.9,5.4159,5.0,287.0,19.6,6.15,23.0
6.083,43.7,5.4159,5.0,287.0,19.6,12.79,22.2
5.868,25.8,5.2146,4.0,430.0,16.9,9.97,19.3
6.333,17.2,5.2146,4.0,430.0,16.9,7.34,22.6
6.144,32.2,5.8736,4.0,430.0,16.9,9.09,19.8
5.706,28.4,6.6407,1.0,304.0,16.9,12.43,17.1
6.031,23.3,6.6407,1.0,304.0,16.9,7.83,19.4
6.316,38.1,6.4584,5.0,224.0,20.2,5.68,22.2
6.31,38.5,6.4584,5.0,224.0,20.2,6.75,20.7
6.037,34.5,5.9853,5.0,224.0,20.2,8.01,21.1
5.869,46.3,5.2311,5.0,224.0,20.2,9.8,19.5
5.895,59.6,5.615,5.0,224.0,20.2,10.56,18.5
6.059,37.3,4.8122,5.0,224.0,20.2,8.51,20.6
5.985,45.4,4.8122,5.0,224.0,20.2,9.74,19.0
5.968,58.5,4.8122,5.0,224.0,20.2,9.29,18.7
7.241,49.3,7.0379,1.0,284.0,15.5,5.49,32.7
6.54,59.7,6.2669,1.0,422.0,15.9,8.65,16.5
6.696,56.4,5.7321,5.0,370.0,17.6,7.18,23.9
6.874,28.1,6.4654,5.0,370.0,17.6,4.61,31.2
6.014,48.5,8.0136,3.0,352.0,18.8,10.53,17.5
5.898,52.3,8.0136,3.0,352.0,18.8,12.67,17.2
6.516,27.7,8.5353,4.0,351.0,17.9,6.36,23.1
6.635,29.7,8.344,4.0,280.0,17.0,5.99,24.5
6.939,34.5,8.7921,1.0,335.0,19.7,5.89,26.6
6.49,44.4,8.7921,1.0,335.0,19.7,5.98,22.9
6.579,35.9,10.7103,4.0,411.0,18.3,5.49,24.1
5.884,18.5,10.7103,4.0,411.0,18.3,7.79,18.6
6.728,36.1,12.1265,5.0,187.0,17.0,4.5,30.1
5.663,21.9,10.5857,4.0,334.0,22.0,8.05,18.2
5.936,19.5,10.5857,4.0,334.0,22.0,5.57,20.6
6.212,97.4,2.1222,24.0,666.0,20.2,17.6,17.8
6.395,91.0,2.5052,24.0,666.0,20.2,13.27,21.7
6.127,83.4,2.7227,24.0,666.0,20.2,11.48,22.7
6.112,81.3,2.5091,24.0,666.0,20.2,12.67,22.6
6.398,88.0,2.5182,24.0,666.0,20.2,7.79,25.0
6.251,91.1,2.2955,24.0,666.0,20.2,14.19,19.9
5.362,96.2,2.1036,24.0,666.0,20.2,10.19,20.8
5.803,89.0,1.9047,24.0,666.0,20.2,14.64,16.8
8.78,82.9,1.9047,24.0,666.0,20.2,5.29,21.9
3.561,87.9,1.6132,24.0,666.0,20.2,7.12,27.5
4.963,91.4,1.7523,24.0,666.0,20.2,14.0,21.9
3.863,100.0,1.5106,24.0,666.0,20.2,13.33,23.1
4.97,100.0,1.3325,24.0,666.0,20.2,3.26,50.0
6.683,96.8,1.3567,24.0,666.0,20.2,3.73,50.0
7.016,97.5,1.2024,24.0,666.0,20.2,2.96,50.0
6.216,100.0,1.1691,24.0,666.0,20.2,9.53,50.0
5.875,89.6,1.1296,24.0,666.0,20.2,8.88,50.0
4.906,100.0,1.1742,24.0,666.0,20.2,34.77,13.8
4.138,100.0,1.137,24.0,666.0,20.2,37.97,13.8
7.313,97.9,1.3163,24.0,666.0,20.2,13.44,15.0
6.649,93.3,1.3449,24.0,666.0,20.2,23.24,13.9
6.794,98.8,1.358,24.0,666.0,20.2,21.24,13.3
6.38,96.2,1.3861,24.0,666.0,20.2,23.69,13.1
6.223,100.0,1.3861,24.0,666.0,20.2,21.78,10.2
6.968,91.9,1.4165,24.0,666.0,20.2,17.21,10.4
6.545,99.1,1.5192,24.0,666.0,20.2,21.08,10.9
5.536,100.0,1.5804,24.0,666.0,20.2,23.6,11.3
5.52,100.0,1.5331,24.0,666.0,20.2,24.56,12.3
4.368,91.2,1.4395,24.0,666.0,20.2,30.63,8.8
5.277,98.1,1.4261,24.0,666.0,20.2,30.81,7.2
4.652,100.0,1.4672,24.0,666.0,20.2,28.28,10.5
5.0,89.5,1.5184,24.0,666.0,20.2,31.99,7.4
4.88,100.0,1.5895,24.0,666.0,20.2,30.62,10.2
5.39,98.9,1.7281,24.0,666.0,20.2,20.85,11.5
5.713,97.0,1.9265,24.0,666.0,20.2,17.11,15.1
6.051,82.5,2.1678,24.0,666.0,20.2,18.76,23.2
5.036,97.0,1.77,24.0,666.0,20.2,25.68,9.7
6.193,92.6,1.7912,24.0,666.0,20.2,15.17,13.8
5.887,94.7,1.7821,24.0,666.0,20.2,16.35,12.7
6.471,98.8,1.7257,24.0,666.0,20.2,17.12,13.1
6.405,96.0,1.6768,24.0,666.0,20.2,19.37,12.5
5.747,98.9,1.6334,24.0,666.0,20.2,19.92,8.5
5.453,100.0,1.4896,24.0,666.0,20.2,30.59,5.0
5.852,77.8,1.5004,24.0,666.0,20.2,29.97,6.3
5.987,100.0,1.5888,24.0,666.0,20.2,26.77,5.6
6.343,100.0,1.5741,24.0,666.0,20.2,20.32,7.2
6.404,100.0,1.639,24.0,666.0,20.2,20.31,12.1
5.349,96.0,1.7028,24.0,666.0,20.2,19.77,8.3
5.531,85.4,1.6074,24.0,666.0,20.2,27.38,8.5
5.683,100.0,1.4254,24.0,666.0,20.2,22.98,5.0
4.138,100.0,1.1781,24.0,666.0,20.2,23.34,11.9
5.608,100.0,1.2852,24.0,666.0,20.2,12.13,27.9
5.617,97.9,1.4547,24.0,666.0,20.2,26.4,17.2
6.852,100.0,1.4655,24.0,666.0,20.2,19.78,27.5
5.757,100.0,1.413,24.0,666.0,20.2,10.11,15.0
6.657,100.0,1.5275,24.0,666.0,20.2,21.22,17.2
4.628,100.0,1.5539,24.0,666.0,20.2,34.37,17.9
5.155,100.0,1.5894,24.0,666.0,20.2,20.08,16.3
4.519,100.0,1.6582,24.0,666.0,20.2,36.98,7.0
6.434,100.0,1.8347,24.0,666.0,20.2,29.05,7.2
6.782,90.8,1.8195,24.0,666.0,20.2,25.79,7.5
5.304,89.1,1.6475,24.0,666.0,20.2,26.64,10.4
5.957,100.0,1.8026,24.0,666.0,20.2,20.62,8.8
6.824,76.5,1.794,24.0,666.0,20.2,22.74,8.4
6.411,100.0,1.8589,24.0,666.0,20.2,15.02,16.7
6.006,95.3,1.8746,24.0,666.0,20.2,15.7,14.2
5.648,87.6,1.9512,24.0,666.0,20.2,14.1,20.8
